Fecha;Obra;% disponibilidad;Cantidad items MM;Cantidad Stock Nulo;Cantidad Menor a PP;Cantidad Mayor a PP;Cantidad mayor a Stock Maximo
7/1/2025;00038 Fase 7 Veladero-MM;30%;1490;1039;0;76;375
14/1/2025;00038 Fase 7 Veladero-MM;1%;1490;1490;0;0;0
20/5/2024;00223 Comp Amb Santa Fe;97%;265;9;11;129;116
27/5/2024;00223 Comp Amb Santa Fe;97%;265;9;13;128;115
3/6/2024;00223 Comp Amb Santa Fe;97%;265;9;13;130;113
10/6/2024;00223 Comp Amb Santa Fe;97%;265;9;14;121;121
24/6/2024;00223 Comp Amb Santa Fe;93%;265;19;15;117;114
1/7/2024;00223 Comp Amb Santa Fe;88%;264;31;14;108;111
8/7/2024;00223 Comp Amb Santa Fe;96%;264;11;8;131;114
15/7/2024;00223 Comp Amb Santa Fe;97%;264;9;7;136;112
22/7/2024;00223 Comp Amb Santa Fe;99%;205;2;5;112;86
29/7/2024;00223 Comp Amb Santa Fe;97%;205;6;5;111;83
9/8/2024;00223 Comp Amb Santa Fe;94%;205;13;4;118;70
12/8/2024;00223 Comp Amb Santa Fe;93%;205;14;8;114;69
19/8/2024;00223 Comp Amb Santa Fe;93%;205;15;9;114;67
27/8/2024;00223 Comp Amb Santa Fe;96%;205;9;7;120;69
2/9/2024;00223 Comp Amb Santa Fe;98%;205;5;8;121;71
9/9/2024;00223 Comp Amb Santa Fe;98%;205;5;8;122;70
16/9/2024;00223 Comp Amb Santa Fe;98%;204;5;12;118;69
23/9/2024;00223 Comp Amb Santa Fe;99%;204;3;10;121;70
30/9/2024;00223 Comp Amb Santa Fe;99%;204;3;10;121;70
7/10/2024;00223 Comp Amb Santa Fe;97%;205;7;10;119;69
14/10/2024;00223 Comp Amb Santa Fe;97%;205;7;8;120;70
22/10/2024;00223 Comp Amb Santa Fe;96%;205;8;6;120;71
29/10/2024;00223 Comp Amb Santa Fe;96%;205;9;11;115;70
4/11/2024;00223 Comp Amb Santa Fe;96%;205;9;11;115;70
11/11/2024;00223 Comp Amb Santa Fe;98%;177;4;7;129;37
18/11/2024;00223 Comp Amb Santa Fe;99%;177;2;3;134;38
26/11/2024;00223 Comp Amb Santa Fe;99%;177;2;4;134;37
2/12/2024;00223 Comp Amb Santa Fe;99%;176;1;8;131;36
9/12/2024;00223 Comp Amb Santa Fe;95%;176;9;5;127;35
18/12/2024;00223 Comp Amb Santa Fe;100%;176;0;0;141;35
23/12/2024;00223 Comp Amb Santa Fe;100%;176;0;0;141;35
2/1/2025;00223 Comp Amb Santa Fe;93%;183;13;5;128;37
7/1/2025;00223 Comp Amb Santa Fe;100%;183;0;3;143;37
14/1/2025;00223 Comp Amb Santa Fe;100%;183;0;5;141;37
21/1/2025;00223 Comp Amb Santa Fe;100%;182;0;0;144;38
27/1/2025;00223 Comp Amb Santa Fe;99%;182;1;0;145;36
3/2/2025;00223 Comp Amb Santa Fe;98%;183;4;3;140;36
11/2/2025;00223 Comp Amb Santa Fe;99%;183;1;2;143;37
18/2/2025;00223 Comp Amb Santa Fe;99%;183;1;2;143;37
7/3/2025;00223 Comp Amb Santa Fe;97%;183;5;3;139;36
12/3/2025;00223 Comp Amb Santa Fe;97%;183;6;3;138;36
17/3/2025;00223 Comp Amb Santa Fe;97%;182;6;3;138;35
31/3/2025;00223 Comp Amb Santa Fe;91%;183;17;5;126;35
7/4/2025;00223 Comp Amb Santa Fe;86%;184;26;5;122;31
14/4/2025;00223 Comp Amb Santa Fe;84%;214;35;18;129;32
22/4/2025;00223 Comp Amb Santa Fe;84%;214;35;18;129;32
20/5/2025;00223 Comp Amb Santa Fe;93%;217;16;25;149;27
27/5/2025;00223 Comp Amb Santa Fe;93%;217;16;16;158;27
2/6/2025;00223 Comp Amb Santa Fe;94%;217;13;21;156;27
9/6/2025;00223 Comp Amb Santa Fe;92%;217;17;23;151;26
23/6/2025;00223 Comp Amb Santa Fe;98%;217;5;17;168;27
17/6/2025;00223 Comp Amb Santa Fe;92%;217;17;23;151;26
30/6/2025;00223 Comp Amb Santa Fe;94%;216;12;32;146;26
7/7/2025;00223 Comp Amb Santa Fe;93%;216;15;38;139;24
15/7/2025;00223 Comp Amb Santa Fe;93%;213;15;36;139;23
25/7/2025;00223 Comp Amb Santa Fe;92%;213;17;20;151;25
12/8/2025;00223 Comp Amb Santa Fe;95%;209;10;21;154;24
19/8/2025;00223 Comp Amb Santa Fe;96%;209;9;18;158;24
26/8/2025;00223 Comp Amb Santa Fe;94%;209;12;20;153;24
1/9/2025;00223 Comp Amb Santa Fe;97%;209;7;20;157;25
8/9/2025;00223 Comp Amb Santa Fe;100%;209;1;14;170;24
18/9/2025;00223 Comp Amb Santa Fe;92%;209;16;23;139;31
24/9/2025;00223 Comp Amb Santa Fe;100%;207;1;11;166;29
29/9/2025;00223 Comp Amb Santa Fe;98%;207;28;18;133;28
6/10/2025;00223 Comp Amb Santa Fe;84%;201;32;16;129;24
20/5/2024;00314 CASA Olavarría;99%;820;9;50;482;279
27/5/2024;00314 CASA Olavarría;98%;816;13;31;531;241
3/6/2024;00314 CASA Olavarría;99%;816;9;23;540;244
10/6/2024;00314 CASA Olavarría;99%;816;6;26;550;234
24/6/2024;00314 CASA Olavarría;99%;814;5;33;610;166
1/7/2024;00314 CASA Olavarría;95%;817;44;47;591;135
8/7/2024;00314 CASA Olavarría;99%;781;10;31;617;123
15/7/2024;00314 CASA Olavarría;98%;783;12;19;620;132
22/7/2024;00314 CASA Olavarría;99%;783;11;22;618;132
29/7/2024;00314 CASA Olavarría;99%;783;8;20;608;147
9/8/2024;00314 CASA Olavarría;98%;783;12;40;594;137
12/8/2024;00314 CASA Olavarría;99%;785;7;26;607;145
19/8/2024;00314 CASA Olavarría;99%;783;8;34;601;140
27/8/2024;00314 CASA Olavarría;98%;780;19;39;579;143
2/9/2024;00314 CASA Olavarría;99%;780;11;37;590;142
9/9/2024;00314 CASA Olavarría;99%;768;11;45;578;134
16/9/2024;00314 CASA Olavarría;98%;768;13;23;591;141
23/9/2024;00314 CASA Olavarría;99%;768;7;30;591;140
30/9/2024;00314 CASA Olavarría;99%;768;7;23;602;136
7/10/2024;00314 CASA Olavarría;99%;768;6;31;574;157
14/10/2024;00314 CASA Olavarría;99%;767;9;34;576;148
22/10/2024;00314 CASA Olavarría;99%;768;11;33;580;144
29/10/2024;00314 CASA Olavarría;99%;767;11;42;574;140
4/11/2024;00314 CASA Olavarría;97%;780;21;46;589;124
11/11/2024;00314 CASA Olavarría;97%;781;20;40;610;111
18/11/2024;00314 CASA Olavarría;98%;763;13;30;596;124
26/11/2024;00314 CASA Olavarría;98%;555;9;24;314;208
2/12/2024;00314 CASA Olavarría;99%;495;5;33;256;201
9/12/2024;00314 CASA Olavarría;98%;495;8;30;267;190
18/12/2024;00314 CASA Olavarría;99%;496;4;15;291;186
23/12/2024;00314 CASA Olavarría;98%;496;12;36;292;156
2/1/2025;00314 CASA Olavarría;98%;496;11;39;297;149
7/1/2025;00314 CASA Olavarría;96%;496;19;41;303;133
14/1/2025;00314 CASA Olavarría;97%;496;14;37;317;128
21/1/2025;00314 CASA Olavarría;98%;496;10;27;327;132
27/1/2025;00314 CASA Olavarría;99%;499;7;36;326;130
3/2/2025;00314 CASA Olavarría;98%;498;11;22;323;142
