Cliente;Material;Tipo material;Texto breve de material;Nombre Fabricante;Numero Pieza de Fabricante;Centro área pl.nec.;Almacén;Caract.planif.nec.;Punto de pedido;Stock alm.máx.;Grupo de compras;Denominación GrpComp;Rubro;SubRubro;Unidad de peso;TIPO DOC;ESTADO ITEM;NRO. VA01/VA21;NRO. OC;FECHA RECEPCION;FECHA PICKING;FECHA CONTABILIZACION VL;FECHA ENTREGA ESPERADA;FECHA DE EMISION NECESIDAD;GRUPO DE COMPRA OC;NRO. SOLPED
00314 CASA Olavarría;1003694;ZSTO;PIN STOP;DAEMO ENGI;B36610143;MM01;26;V1;1;3;C29;FILTROS/RESPUESTOS;REPUESTOS;DAEMO;KG;ZPAS;SIN TRATAMIENTO;1000081909;;;;;13/2/2026;28/1/2026;;
00314 CASA Olavarría;1004282;ZSTO;KIT SELLO MARTILLO;DAEMO ENGI;B36680041;MM01;26;RE;1;2;C29;FILTROS/RESPUESTOS;REPUESTOS;DAEMO B300;KG;ZPAN;RECEPCIONADO;1000084302;4500122305;30/4/2026;;;20/5/2026;6/3/2026;C29;10144761
00314 CASA Olavarría;1003742;ZSTO;COUMPLING SCREW;DAEMO ENGI;00605A0000002;MM01;26;RE;1;2;C29;FILTROS/RESPUESTOS;REPUESTOS;DAEMO B-Series;KG;ZPAN;RECEPCIONADO;1000084302;4500122305;30/4/2026;;;20/5/2026;6/3/2026;C29;10144761
00314 CASA Olavarría;1001898;ZSTO;BOBINA DE PAPEL 25 X 400MTS X UN;ELEGANTE // ELITE;1003 (MÚLT. 2U) // 6264;MR01;314;V1;4;8;C17;INSUMOS A;LIMPIEZA;INSUMOS;KG;ZPAN;RECEPCIONADO PARCIAL;1000087796;4500127227;11/5/2026;;;27/5/2026;5/5/2026;C01;10149254
00314 CASA Olavarría;1001961;ZSTO;CINTA AISLADORA NEGRA X10MT;;;MR01;314;V1;13;23;C27;FERRETERIA MR01;FERRETERIA;INSUMOS;KG;ZPAS;EMBALADO;1000088520;;;16/6/2026;;1/6/2026;16/5/2026;;
00314 CASA Olavarría;1056409;ZSTO;SENSOR DE PRESION;;418-43-37681;MM01;26;RE;1;3;C03;EQUIPOS;;;KG;ZPAN;ADJUDICADO;1000089141;4500129372;;;;16/6/2026;27/5/2026;C03;10151077
00314 CASA Olavarría;1004313;ZSTO;ACEITE TRANSMISSION OIL AT102 X 200LTS;VOLVO CONS;VOE15143389 / 97342;MM01;26;V1;1;3;C29;FILTROS/RESPUESTOS;LUBRICANTES;LUBRICANTES;KG;ZPAS;SIN TRATAMIENTO;1000089889;;;;;24/6/2026;9/6/2026;;
00314 CASA Olavarría;1035362;ZSTO;JUEGO FILTRO;;VOE17410279;MM01;26;V1;1;3;C03;EQUIPOS;;;KG;ZPAS;EMBALADO;1000089921;;;18/6/2026;;24/6/2026;9/6/2026;;
00314 CASA Olavarría;1024718;ZSTO;TAPA DE COMBUSTIBLE;;14641479;MM01;26;RE;1;1;C03;EQUIPOS;?;?;KG;ZPAN;SIN TRATAMIENTO;1000090138;;;;;27/6/2026;12/6/2026;;10152322
00314 CASA Olavarría;1036372;ZSTO;VARILLA MEDICION DE ACEITE MOTOR;;616-6274;MM01;26;RE;1;1;C03;EQUIPOS;REPUESTOS;?;KG;ZPAN;SIN TRATAMIENTO;1000090138;;;;;27/6/2026;12/6/2026;;10152322
00314 CASA Olavarría;1003433;ZSTO;BOMBA DE AGUA;TOYOTA ARG;16100-69357;MM01;26;RE;1;2;C29;FILTROS/RESPUESTOS;REPUESTOS;HILUX 3.0 2010;KG;ZPAN;ADJUDICADO;1000090138;4500130365;;;;27/6/2026;12/6/2026;C29;10152322
00314 CASA Olavarría;1015849;ZSSD;PINCEL CERDA Nº20 XUN;;;MR01;314;V1;1;3;C27;FERRETERIA MR01;FERRETERIA;INSUMOS;KG;ZPAN;ADJUDICADO;1000090293;4500130741;;;;30/6/2026;16/6/2026;C01;10152485
00314 CASA Olavarría;1015850;ZSSD;PINCEL CERDA Nº30 XUN;;;MR01;314;V1;3;6;C27;FERRETERIA MR01;FERRETERIA;INSUMOS;KG;ZPAN;ADJUDICADO;1000090293;4500130741;;;;30/6/2026;16/6/2026;C01;10152485
00314 CASA Olavarría;1015863;ZSSD;SILICONA LIQUIDA X5LT;;;MR01;314;V1;2;5;C17;INSUMOS A;LIMPIEZA;LIMPIEZA /SEGURIDAD;KG;ZPAN;ADJUDICADO;1000090293;4500130741;;;;30/6/2026;16/6/2026;C01;10152485
00314 CASA Olavarría;1017046;ZSSD;CEPILLO VIOLIN P LAVAR COCHES;;;MR01;314;V1;6;12;C17;INSUMOS A;LIMPIEZA;?;KG;ZPAN;ADJUDICADO;1000090293;4500130741;;;;30/6/2026;16/6/2026;C01;10152485
00314 CASA Olavarría;1001900;ZSTO;TRAPO DE PISO;;;MR01;314;V1;17;30;C17;INSUMOS A;LIMPIEZA;INSUMOS;KG;ZPAN;ADJUDICADO;1000090293;4500130741;;;;30/6/2026;16/6/2026;C01;10152485
00314 CASA Olavarría;1022060;ZSTO;CUCHILLA LATERALES;CATERPILLA;4T8101;MM01;26;V1;1;3;G01;CUCHILLAS;DESGASTE;CAT 950L;KG;ZPAS;EMBALADO;1000090369;;;18/6/2026;;30/6/2026;17/6/2026;;
